,Value
0,7/5
1,2/79
2,390/302
3,3/9
4,339/576
5,428/455
6,663/87
7,12/354
8,7/6
9,2/7
10,16/4
11,828/642
12,542/215
13,400/83
14,30/2
15,864/399
16,941/616
17,181/88
18,200/352
19,30/456
20,86/7
21,784/1
22,303/90
23,9/7
24,3/13
25,15/50
26,2/193
27,615/696
28,425/81
29,768/81
30,53/813
31,4/710
32,995/50
33,460/4
34,22/4
35,305/6
36,76/8
37,7/8
38,9/7
39,7/62
40,5/781
41,3/31
42,21/51
43,2/166
44,9/269
45,446/491
46,6/17
47,457/13
48,57/55
49,1/6
50,67/786
51,8/107
52,364/552
53,788/868
54,9/5
55,9/311
56,12/38
57,9/28
58,935/154
59,662/9
60,47/176
61,38/374
62,249/7
63,3/655
64,3/5
65,118/1
66,92/438
67,5/7
68,6/72
69,9/1
70,867/620
71,5/865
72,1/5
73,248/77
74,8/425
75,75/9
76,5/171
77,40/2
78,7/541
79,5/727
80,949/285
81,88/14
82,4/597
83,8/2
84,414/35
85,46/7
86,25/484
87,56/9
88,95/520
89,5/2
90,98/64
91,7/4
92,542/68
93,26/5
94,321/900
95,82/72
96,82/2
97,355/21
98,4/1
99,210/20
100,73/7
101,595/70
102,4/81
103,852/65
104,98/8
105,40/97
106,6/95
107,2/6
108,62/87
109,8/732
110,59/361
111,4/27
112,7/5
113,22/440
114,8/274
115,5/79
116,8/64
117,8/51
118,9/41
119,9/913
120,18/31
121,652/63
122,50/41
123,4/5
124,9/966
125,2/2
126,414/250
127,1/1
128,96/241
129,9/415
130,997/86
131,516/531
132,3/19
133,30/7
134,17/90
135,688/797
136,2/6
137,45/80
138,694/332
139,6/44
140,7/66
141,40/6
142,15/837
143,3/2
144,4/480
145,613/259
146,5/41
147,1/732
148,4/5
149,5/656
150,49/401
151,80/40
152,672/728
153,72/8
154,7/873
155,2/137
156,2/19
157,40/619
158,43/9
159,469/722
160,888/314
161,9/59
162,636/80
163,711/6
164,41/4
165,3/46
166,948/858
167,4/99
168,31/737
169,840/1
170,8/98
171,1/8
172,7/955
173,54/19
174,363/84
175,4/6
176,736/72
177,47/30
178,4/578
179,7/5
180,84/33
181,8/86
182,296/289
183,8/73
184,696/7
185,358/3
186,196/78
187,98/988
188,2/40
189,633/2
190,59/4
191,57/399
192,788/84
193,2/42
194,47/659
195,772/924
196,1/6
197,89/83
198,9/70
199,876/217
200,68/51
201,791/24
202,14/41
203,37/753
204,7/54
205,17/5
206,840/5
207,86/41
208,4/402
209,410/335
210,89/64
211,352/5
212,532/275
213,514/40
214,81/22
215,952/3
216,5/79
217,59/53
218,2/10
219,4/23
220,9/9
221,236/765
222,861/1
223,938/888
224,50/4
225,20/556
226,7/10
227,3/45
228,7/4
229,34/1
230,84/2
231,8/548
232,20/9
233,61/927
234,319/63
235,189/8
236,544/21
237,9/412
238,3/3
239,94/5
240,3/66
241,9/557
242,728/128
243,5/163
244,6/379
245,881/52
246,4/60
247,912/12
248,4/34
249,2/167
250,53/46
251,298/659
252,9/16
253,90/5
254,429/468
255,8/2
256,2/563
257,229/19
258,7/125
259,71/82
260,29/422
261,57/94
262,55/394
263,885/5
264,66/8
265,940/26
266,63/631
267,1/79
268,21/912
269,2/6
270,52/47
271,5/891
272,1/10
273,110/6
274,14/10
275,86/17
276,8/1
277,735/717
278,5/8
279,554/4
280,95/80
281,8/380
282,43/25
283,3/60
284,5/2
285,313/167
286,1/812
287,8/257
288,4/576
289,8/682
290,942/46
291,7/904
292,7/46
293,589/299
294,95/843
295,7/88
296,54/95
297,6/359
298,9/9
299,227/632
300,448/1
301,58/4
302,888/46
303,859/8
304,4/7
